Date_Scrap,Heure_Scrap,Horaire_Depart,Horaire_Arrivee,ville_depart,ville_arrivee,Gare_Depart,Gare_Arrivee,Prix_Train,Duree_Train,Escale_Train
12-Jan,15,00:20,06:55,Paris,Lyon,Paris CDG Terminal,Lyon Perrache,27.99 €,6h35,Direct 
12-Jan,15,00:30,06:00,Paris,Lyon,Bercy Seine,Lyon Perrache,14.99 €,5h30,Direct 
12-Jan,15,01:10,06:55,Paris,Lyon,Bercy Seine,Lyon Perrache,20.99 €,5h45,Direct 
12-Jan,15,06:10,12:05,Paris,Lyon,Paris Bercy,Lyon Gare Routière Perrache,10.00 €,5h55,Direct 
12-Jan,15,01:10,06:55,Paris,Lyon,Bercy Seine,Lyon Perrache,20.99 €,5h45,Direct 
12-Jan,15,06:10,12:05,Paris,Lyon,Paris Bercy,Lyon Gare Routière Perrache,10.00 €,5h55,Direct 
12-Jan,15,09:00,14:50,Paris,Lyon,Paris Bercy,Lyon Gare Routière Perrache,14.29 €,5h50,Direct 
12-Jan,15,09:00,15:15,Paris,Lyon,Bercy Seine,Lyon Perrache,9.99 €,6h15,Direct 
12-Jan,15,09:45,16:05,Paris,Lyon,Bercy Seine,Lyon Perrache,14.99 €,6h20,Direct 
12-Jan,15,12:15,18:50,Paris,Lyon,Paris Bercy,Lyon Gare Routière Perrache,15.00 €,6h35,Direct 
12-Jan,15,14:30,20:45,Paris,Lyon,Bercy Seine,Lyon Perrache,20.99 €,6h15,Direct 
12-Jan,15,15:30,22:10,Paris,Lyon,Paris CDG Terminal,Lyon Perrache,20.99 €,6h40,Direct 
12-Jan,15,14:30,20:45,Paris,Lyon,Bercy Seine,Lyon Perrache,20.99 €,6h15,Direct 
12-Jan,15,15:30,22:10,Paris,Lyon,Paris CDG Terminal,Lyon Perrache,20.99 €,6h40,Direct 
12-Jan,15,16:30,22:10,Paris,Lyon,Bercy Seine,Lyon Perrache,14.99 €,5h40,Direct 
12-Jan,15,17:15,23:05,Paris,Lyon,Bercy Seine,Lyon Perrache,18.99 €,5h50,Direct 
12-Jan,15,18:45,00:15,Paris,Lyon,Paris Bercy,Lyon Gare Routière Perrache,14.29 €,5h30,Direct 
12-Jan,15,19:15,01:10,Paris,Lyon,Bercy Seine,Lyon Perrache,18.99 €,5h55,Direct 
12-Jan,15,20:00,01:30,Paris,Lyon,Paris Bercy,Lyon Gare Routière Perrache,10.00 €,5h30,Direct 
12-Jan,15,21:45,03:30,Paris,Lyon,Paris Bercy,Lyon Gare Routière Perrache,10.00 €,5h45,Direct 
12-Jan,15,21:55,03:20,Paris,Lyon,Bercy Seine,Lyon Perrache,17.99 €,5h25,Direct 
12-Jan,15,22:40,05:15,Paris,Lyon,Paris Pont de Levallois,Lyon Perrache,18.99 €,6h35,Direct 
12-Jan,15,22:45,04:30,Paris,Lyon,Paris Bercy,Lyon Gare Routière Perrache,18.69 €,5h45,Direct 
12-Jan,15,23:20,04:30,Paris,Lyon,Paris Aéroport Orly Sud Parking P4C,Lyon Gare Routière Perrache,20.99 €,5h10,Direct 
12-Jan,15,23:20,05:15,Paris,Lyon,Paris Bercy,Lyon Gare Routière Perrache,10.00 €,5h55,Direct 
12-Jan,15,23:30,05:15,Paris,Lyon,Bercy Seine,Lyon Perrache,18.99 €,5h45,Direct 
12-Jan,15,23:59,05:15,Paris,Lyon,Paris Aéroport Orly Sud Parking P4C,Lyon Perrache,38.99 €,5h16,Direct 
